ano_ingresso,ano_nasc,ano_referencia,atingiu_pv,ativo_inativo,avaliador_1,avaliador_2,avaliador_3,avaliador_4,avaliador_5,avaliador_6,cf,cg,ct,defasagem,destaque_ida,destaque_ieh,destaque_ipv,escola,fase,fase_ideal,genero,iaa,ian,ida,idade,ieg,inde_2023,inde_2024,inde_22,inde_23,indicado,ingles,instituicao_de_ensino,ipp,ips,ipv,matematica,num_av,pedra_20,pedra_2023,pedra_2024,pedra_21,pedra_22,pedra_23,portugues,rec_av1,rec_av2,rec_av3,rec_av4,rec_psicologia,turma,inde,pedra,genero_NUM,pedra_20_NUM,pedra_2023_NUM,pedra_2024_NUM,pedra_21_NUM,pedra_22_NUM,pedra_23_NUM,pedra_NUM
"202200,00%",,,0,,Avaliador-11,Avaliador-2,nan,nan,,,67.0,430.5,6.0,0.0,nan,nan,nan,,2.0,ALFA (1° e 2° ano),Masculino,0.0,10.0,9.3,12.0,8.1,7,7.7730935185,7.523,7.5595,nan,6.7,Pública,8.1,3.8,7.946666667,9.3,2.0,nan,Ametista,Ametista,nan,Ametista,nan,9.2,nan,nan,nan,nan,nan,ALFA F - G0/G1,7,nan,0,0.0,2.0,2.0,0.0,2.0,0.0,0.0
2022,2012,,0,,Avaliador-7,Avaliador-3,Avaliador-15,nan,,,31.0,132.0,2.0,-1.0,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa entrega das lições de casa.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,,1.0,Fase 2 (5º e 6º ano),Masculino,9.5,5.0,7.8,12.0,9.8,,7.7730935185,8.057,7.5595,Sim,6.7,Escola Pública,7.5,7.5,8.167,8.7,3.0,nan,Ametista,Ametista,nan,Ametista,nan,7.0,Promovido de Fase + Bolsa,Mantido na Fase atual,Mantido na Fase atual,nan,Não atendido,E,8.057,nan,0,0.0,2.0,2.0,0.0,2.0,0.0,0.0
2024,,,0,Cursando,Avaliador-19,Avaliador-25,Avaliador-2,nan,nan,nan,67.0,430.5,6.0,-1.0,nan,nan,nan,EE Maria André Schunck Dona,2.0,Fase 3 (7° e 8° ano),Masculino,6.9,5.0,5.0,12.0,4.4,,5.0,7.306,7.5595,nan,6.7,Pública,4.6,7.5,3.8,5.0,3.0,nan,Ametista,Quartzo,nan,nan,nan,5.0,nan,nan,,,nan,2R,5.0,nan,0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
2022,,,0,,Avaliador-15,Avaliador-5,Avaliador-2,nan,,,67.0,430.5,6.0,-1.0,nan,nan,nan,,2.0,Fase 3 (7° e 8° ano),Feminino,9.0,5.0,8.4,12.0,8.8,8,7.7730935185,7.729,7.5595,nan,6.7,Pública,9.0,2.5,8.673333333,8.8,3.0,nan,Ametista,Ametista,nan,Ametista,nan,8.0,nan,nan,nan,nan,nan,2G,8,nan,1,0.0,2.0,2.0,0.0,2.0,0.0,0.0
"202100,00%",,,0,,Avaliador-13,Avaliador-3,nan,nan,,,67.0,430.5,6.0,-2.0,nan,nan,nan,,2.0,Fase 2 (5° e 6° ano),Feminino,7.9,5.0,6.4,10.0,9.5,7,7.7730935185,7.48,7.5595,nan,6.7,Pública,5.6,2.5,6.43,6.0,2.0,nan,Agata,Ametista,Ametista,Ametista,nan,6.7,nan,nan,nan,nan,nan,ALFA J - G2/G3,7,nan,1,0.0,1.0,2.0,2.0,2.0,0.0,0.0
2021,,,0,,Avaliador-21,Avaliador-6,Avaliador-34,Avaliador-8,,,67.0,430.5,6.0,0.0,nan,nan,nan,,2.0,Fase 3 (7° e 8° ano),Feminino,8.8,10.0,5.4,13.0,8.3,8,7.7730935185,7.747,7.5595,nan,3.7,Privada,7.7,5.6,7.9175,6.3,4.0,nan,Ametista,Ametista,Ágata,Ametista,nan,6.3,nan,nan,nan,nan,nan,3F,8,nan,1,0.0,2.0,2.0,1.0,2.0,0.0,0.0
2022,2014,,0,,Avaliador-13,Avaliador-3,nan,nan,,,159.0,555.0,4.0,0.0,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,,0.0,ALFA  (2º e 3º ano),Masculino,10.0,10.0,6.0,12.0,4.4,,7.7730935185,6.799,7.5595,Não,6.7,Escola Pública,7.5,6.9,7.333,7.0,2.0,nan,Ametista,Ametista,nan,Ágata,nan,5.0,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,nan,Sem limitações,T,6.799,nan,0,0.0,2.0,2.0,0.0,1.0,0.0,0.0
"202400,00%",,,0,Cursando,Avaliador-3,Avaliador-13,Avaliador-9,nan,nan,nan,67.0,430.5,6.0,-1.0,nan,nan,nan,EE Dom Pedro Villas Boas de Souza,2.0,Fase 1 (3° e 4° ano),Feminino,7.0,5.0,7.8,12.0,9.4,,7.0,7.306,7.5595,nan,6.7,Pública,5.9,7.5,6.2,9.0,3.0,nan,Ametista,Ametista,nan,nan,nan,6.5,nan,nan,,,nan,ALFA D - G2/G3,7.0,nan,1,0.0,2.0,2.0,0.0,0.0,0.0,0.0
2024,,,0,Cursando,Avaliador-3,Avaliador-15,nan,nan,nan,nan,67.0,430.5,6.0,0.0,nan,nan,nan,EE Dom Pedro Villas Boas de Souza,2.0,Fase 1 (3° e 4° ano),Feminino,8.0,10.0,8.8,12.0,8.6,,8.0,7.306,7.5595,nan,6.7,Pública,8.1,7.5,8.2,8.0,2.0,nan,Ametista,Topázio,nan,nan,nan,9.5,nan,nan,,,nan,1D,8.0,nan,1,0.0,2.0,3.0,0.0,0.0,0.0,0.0
2018,,,0,,Avaliador-21,Avaliador-6,Avaliador-4,Avaliador-8,,,67.0,430.5,6.0,-1.0,nan,nan,nan,,2.0,Fase 4 (9° ano),Masculino,9.2,5.0,4.1,12.0,9.0,7,7.7730935185,6.042,7.5595,nan,2.8,Pública,7.7,2.5,7.375,4.8,4.0,Ágata,Agata,Ametista,Quartzo,Ágata,nan,4.7,nan,nan,nan,nan,nan,3L,7,Ágata,0,1.0,1.0,2.0,0.0,1.0,0.0,1.0
2022,2013,,0,,Avaliador-11,Avaliador-3,nan,nan,,,60.0,224.0,2.0,-1.0,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa entrega das lições de casa.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,,0.0,Fase 1 (4º ano),Feminino,9.0,5.0,9.2,12.0,8.7,,7.7730935185,7.738,7.5595,Não,6.7,Escola Pública,7.5,7.5,7.083,9.2,2.0,nan,Ametista,Ametista,nan,Ametista,nan,9.2,Promovido de Fase,Mantido na Fase atual,Não avaliado,nan,Não atendido,F,7.738,nan,1,0.0,2.0,2.0,0.0,2.0,0.0,0.0
2021,,,0,,Avaliador-24,Avaliador-7,Avaliador-23,Avaliador-8,,,67.0,430.5,6.0,0.0,nan,nan,nan,,2.0,Fase 6 (2° EM),Masculino,7.5,10.0,9.3,16.0,10.0,"8,6625",7.7730935185,8.712,7.5595,nan,9.7,Privada - Programa de Apadrinhamento,8.125,5.63,8.385,9.5,4.0,nan,Topázio,Ametista,Ametista,Topázio,nan,8.7,nan,nan,nan,nan,nan,6L,"8,6625",nan,0,0.0,3.0,2.0,2.0,3.0,0.0,0.0
"202300,00%",,,0,,Avaliador-11,Avaliador-3,nan,nan,,,67.0,430.5,6.0,0.0,nan,nan,nan,,2.0,ALFA (1° e 2° ano),Feminino,7.9,10.0,6.5,12.0,9.2,8,7.7730935185,7.306,7.5595,nan,6.7,Pública,5.6,7.5,7.67,7.2,2.0,nan,Ametista,Ametista,nan,nan,nan,5.8,nan,nan,nan,nan,nan,ALFA R - G0/G1,8,nan,1,0.0,2.0,2.0,0.0,0.0,0.0,0.0
"202300,00%",,,0,,Avaliador-11,Avaliador-3,nan,nan,,,67.0,430.5,6.0,0.0,nan,nan,nan,,2.0,ALFA (1° e 2° ano),Feminino,9.0,10.0,4.7,8.0,8.6,6,7.7730935185,7.306,7.5595,nan,6.7,Pública,3.8,2.5,4.16,4.8,2.0,nan,Agata,Ametista,nan,nan,nan,4.5,nan,nan,nan,nan,nan,ALFA C - G0/G1,6,nan,1,0.0,1.0,2.0,0.0,0.0,0.0,0.0
"202400,00%",,,0,Cursando,Avaliador-11,Avaliador-2,Avaliador-9,nan,nan,nan,67.0,430.5,6.0,-1.0,nan,nan,nan,EE Dom Pedro Villas Boas de Souza,2.0,Fase 1 (3° e 4° ano),Feminino,10.0,5.0,6.0,12.0,7.4,,7.0,7.306,7.5595,nan,6.7,Pública,7.5,7.5,5.9,8.0,3.0,nan,Ametista,Agata,nan,nan,nan,4.0,nan,nan,,,nan,ALFA H - G0/G1,7.0,nan,1,0.0,2.0,1.0,0.0,0.0,0.0,0.0
"202300,00%",,,0,,Avaliador-21,Avaliador-6,Avaliador-23,Avaliador-8,,,67.0,430.5,6.0,-2.0,nan,nan,nan,,2.0,Fase 6 (2° EM),Masculino,8.8,5.0,5.7,12.0,9.3,7,7.7730935185,7.306,7.5595,nan,6.3,Pública,8.0,2.5,8.2125,6.3,4.0,nan,Ametista,Ametista,nan,nan,nan,4.5,nan,nan,nan,nan,nan,4C,7,nan,0,0.0,2.0,2.0,0.0,0.0,0.0,0.0
"202200,00%",,,0,,Avaliador-15,Avaliador-5,Avaliador-2,nan,,,67.0,430.5,6.0,-1.0,nan,nan,nan,,2.0,Fase 3 (7° e 8° ano),Feminino,7.9,5.0,6.3,13.0,8.9,7,7.7730935185,6.408,7.5595,nan,6.7,Pública,7.3,2.5,7.503333333,5.8,3.0,nan,Agata,Ametista,nan,Ágata,nan,6.7,nan,nan,nan,nan,nan,2K,7,nan,1,0.0,1.0,2.0,0.0,1.0,0.0,0.0
"202200,00%",,,0,Cursando,Avaliador-23,Avaliador-20,Avaliador-22,Avaliador-26,nan,nan,67.0,430.5,6.0,-1.0,nan,nan,nan,EE Donizetti Aparecido Leite Professor,2.0,Fase 5 (1° EM),Feminino,7.9,5.0,4.8,12.0,7.9,,7.0,6.35,6.329,nan,4.0,Pública,7.7,4.4,8.0,3.5,4.0,nan,Ametista,Agata,nan,Ágata,Agata,7.0,nan,nan,,,nan,4L,7.0,nan,1,0.0,2.0,1.0,0.0,1.0,1.0,0.0
"202200,00%",,,0,,Avaliador-15,Avaliador-5,Avaliador-2,nan,,,67.0,430.5,6.0,0.0,nan,nan,nan,,2.0,Fase 2 (5° e 6° ano),Feminino,10.0,10.0,8.7,10.0,9.9,9,7.7730935185,8.063,7.5595,nan,6.7,Pública,9.0,2.5,8.953333333,8.2,3.0,nan,Topázio,Ametista,nan,Topázio,nan,9.2,nan,nan,nan,nan,nan,2G,9,nan,1,0.0,3.0,2.0,0.0,3.0,0.0,0.0
"202100,00%",,,0,Cursando,Avaliador-20,Avaliador-19,Avaliador-2,nan,nan,nan,67.0,430.5,6.0,0.0,nan,nan,nan,EE Donizetti Aparecido Leite Professor,2.0,Fase 2 (5° e 6° ano),Feminino,8.5,10.0,5.0,12.0,5.7,,7.0,7.059,7.755,nan,6.7,Pública,8.1,7.5,5.9,4.0,3.0,Topázio,Ametista,Agata,Ametista,Ametista,Ametista,6.0,nan,nan,,,nan,2P,7.0,Topázio,1,3.0,2.0,1.0,2.0,2.0,2.0,3.0
2023,,,0,,Avaliador-19,Avaliador-4,Avaliador-3,nan,,,67.0,430.5,6.0,-1.0,nan,nan,nan,,2.0,Fase 2 (5° e 6° ano),Masculino,0.0,5.0,7.7,12.0,8.0,7,7.7730935185,7.306,7.5595,nan,6.7,Pública,7.5,5.0,8.116666667,7.0,3.0,nan,Agata,Ametista,nan,nan,nan,8.3,nan,nan,nan,nan,nan,1A,7,nan,0,0.0,1.0,2.0,0.0,0.0,0.0,0.0
"201900,00%",,,0,,Avaliador-15,Avaliador-5,Avaliador-2,nan,,,67.0,430.5,6.0,-1.0,nan,nan,nan,,2.0,Fase 3 (7° e 8° ano),Feminino,9.0,5.0,6.5,12.0,9.3,8,7.7730935185,7.302,7.5595,nan,6.7,Pública,8.8,3.8,8.836666667,3.8,3.0,Ágata,Ametista,Ametista,Ametista,Ametista,nan,9.2,nan,nan,nan,nan,nan,2P,8,Ágata,1,1.0,2.0,2.0,2.0,2.0,0.0,1.0
2021,,,0,,Avaliador-21,Avaliador-6,Avaliador-23,Avaliador-8,,,67.0,430.5,6.0,-2.0,nan,nan,nan,,2.0,Fase 6 (2° EM),Feminino,7.9,5.0,6.3,16.0,8.1,7,7.7730935185,6.49,7.5595,nan,7.8,Pública,8.1,2.5,7.8775,5.0,4.0,nan,Agata,Ametista,Ametista,Ágata,nan,6.0,nan,nan,nan,nan,nan,4N,7,nan,1,0.0,1.0,2.0,2.0,1.0,0.0,0.0
2019,2009,,0,,Avaliador-6,Avaliador-27,Avaliador-30,Avaliador-31,,,26.0,162.0,1.0,0.0,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa entrega das lições de casa.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,,3.0,Fase 3 (7º e 8º ano),Masculino,8.3,10.0,6.9,12.0,7.7,,7.7730935185,7.926,7.5595,Sim,8.5,Escola Pública,7.5,7.5,7.917,5.3,4.0,Ametista,Ametista,Ametista,Ametista,Ametista,nan,7.0,Promovido de Fase + Bolsa,Mantido na Fase atual,Promovido de Fase,Mantido na Fase + Bolsa,Não atendido,I,7.926,Ametista,0,2.0,2.0,2.0,2.0,2.0,0.0,2.0
2022,2006,,0,,Avaliador-6,Avaliador-27,Avaliador-30,Avaliador-31,,,57.0,632.0,7.0,-2.0,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,,4.0,Fase 6 (2º EM),Masculino,7.5,5.0,5.5,12.0,6.8,,7.7730935185,6.581,7.5595,Não,6.7,Escola Pública,7.5,7.5,6.875,3.0,4.0,nan,Ametista,Ametista,nan,Ágata,nan,8.0,Promovido de Fase,Mantido na Fase atual,Promovido de Fase,Promovido de Fase,Sem limitações,P,6.581,nan,0,0.0,2.0,2.0,0.0,1.0,0.0,0.0
2018,,,0,,Avaliador-24,Avaliador-7,Avaliador-23,Avaliador-8,,,67.0,430.5,6.0,-1.0,nan,nan,nan,,2.0,Fase 6 (2° EM),Feminino,8.8,5.0,4.8,12.0,9.2,"6,569516667",7.7730935185,6.75,7.5595,nan,4.5,Privada - Programa de Apadrinhamento,7.1875,2.52,7.085,5.0,4.0,Ametista,Agata,Ametista,Ametista,Ágata,nan,5.0,nan,nan,nan,nan,nan,5L,"6,569516667",Ametista,1,2.0,1.0,2.0,2.0,1.0,0.0,2.0
"202200,00%",,,0,Cursando,Avaliador-20,Avaliador-21,Avaliador-17,Avaliador-26,Avaliador-10,nan,67.0,430.5,6.0,1.0,nan,nan,nan,EM Cecilia Cristina de Oliveira Rodrigues,2.0,Fase 2 (5° e 6° ano),Feminino,8.8,10.0,3.7,12.0,10.0,,8.0,7.407,8.439,nan,3.0,Pública,7.4,8.1,6.7,5.5,5.0,nan,Ametista,Ametista,nan,Ametista,Topázio,2.5,nan,nan,,,nan,3M,8.0,nan,1,0.0,2.0,2.0,0.0,2.0,3.0,0.0
2021,,,0,,nan,nan,nan,nan,,,67.0,430.5,6.0,1.0,nan,nan,nan,,2.0,Fase 6 (2° EM),Feminino,0.0,10.0,6.7,16.0,8.7,,7.7730935185,7.306,7.5595,nan,6.7,Privada - Programa de Apadrinhamento,7.5,7.5,7.5875,6.3,3.0,nan,nan,Ametista,nan,nan,nan,6.7,nan,nan,nan,nan,nan,7E,,nan,1,0.0,0.0,2.0,0.0,0.0,0.0,0.0
"202200,00%",,,0,,Avaliador-15,Avaliador-5,Avaliador-2,nan,,,67.0,430.5,6.0,-1.0,nan,nan,nan,,2.0,Fase 2 (5° e 6° ano),Masculino,9.0,5.0,5.7,10.0,8.6,7,7.7730935185,8.064,7.5595,nan,6.7,Pública,8.3,3.8,8.673333333,4.2,3.0,nan,Ametista,Ametista,nan,Topázio,nan,7.2,nan,nan,nan,nan,nan,1M,7,nan,0,0.0,2.0,2.0,0.0,3.0,0.0,0.0
"202300,00%",,,0,Cursando,Avaliador-20,Avaliador-21,Avaliador-17,Avaliador-26,Avaliador-10,nan,67.0,430.5,6.0,0.0,nan,nan,nan,EM Cecilia Cristina de Oliveira Rodrigues,2.0,Fase 3 (7° e 8° ano),Feminino,8.8,10.0,5.0,12.0,9.5,,7.0,7.306,7.567,nan,7.0,Pública,8.4,2.5,7.8,5.0,5.0,nan,Ametista,Ametista,nan,nan,Ametista,3.0,nan,nan,,,nan,3M,7.0,nan,1,0.0,2.0,2.0,0.0,0.0,2.0,0.0
2023,,,0,Cursando,Avaliador-3,Avaliador-13,Avaliador-9,nan,nan,nan,67.0,430.5,6.0,-1.0,nan,nan,nan,EE Dom Pedro Villas Boas de Souza,2.0,Fase 1 (3° e 4° ano),Masculino,9.0,5.0,8.5,8.0,10.0,,8.0,7.306,8.918,nan,6.7,Pública,7.5,6.9,8.3,9.0,3.0,nan,Ametista,Topázio,nan,nan,Topázio,8.0,nan,nan,,,nan,ALFA D - G2/G3,8.0,nan,0,0.0,2.0,3.0,0.0,0.0,3.0,0.0
2021,,,0,Cursando,Avaliador-16,Avaliador-26,Avaliador-22,Avaliador-10,Avaliador-7,nan,67.0,430.5,6.0,-1.0,nan,nan,nan,EE Leonice de Aquino Oliveira,2.0,Fase 4 (9° ano),Masculino,10.0,5.0,4.3,14.0,2.8,,5.0,5.949,5.898,nan,4.0,Pública,5.0,6.9,5.0,5.0,5.0,Ametista,Ametista,Quartzo,Ametista,Quartzo,Quartzo,4.0,nan,nan,,,nan,3F,5.0,Ametista,0,2.0,2.0,0.0,2.0,0.0,0.0,2.0
2022,2011,,0,,Avaliador-7,Avaliador-3,nan,nan,,,82.0,319.0,5.0,-1.0,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa entrega das lições de casa.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,,1.0,Fase 2 (5º e 6º ano),Masculino,8.0,5.0,7.8,12.0,9.2,,7.7730935185,7.483,7.5595,Não,6.7,Escola Pública,7.5,7.5,7.333,8.5,3.0,nan,Ametista,Ametista,nan,Ametista,nan,7.0,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,nan,Não atendido,N,7.483,nan,0,0.0,2.0,2.0,0.0,2.0,0.0,0.0
"202100,00%",,,0,Cursando,Avaliador-21,Avaliador-23,Avaliador-26,nan,nan,nan,67.0,430.5,6.0,0.0,nan,nan,nan,EE Paschoal Carlos Magno,2.0,Fase 3 (7° e 8° ano),Masculino,7.1,10.0,8.7,13.0,5.1,,7.0,6.947,7.331,nan,10.0,Pública,8.3,2.5,7.4,8.5,3.0,Ametista,Ametista,Ametista,Ametista,Ágata,Ametista,7.5,nan,nan,,,nan,3C,7.0,Ametista,0,2.0,2.0,2.0,2.0,1.0,2.0,2.0
2019,2006,,0,,Avaliador-5,Avaliador-27,Avaliador-24,Avaliador-31,,,60.0,857.0,5.0,-1.0,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,,5.0,Fase 6 (2º EM),Masculino,7.1,5.0,0.7,12.0,2.7,,7.7730935185,3.846,7.5595,Não,0.0,Escola Pública,7.5,5.0,4.625,0.3,4.0,Quartzo,Ametista,Ametista,Quartzo,Quartzo,nan,1.8,Mantido na Fase atual,Mantido na Fase atual,Promovido de Fase,Alocado em Fase anterior,Não indicado,F,3.846,Quartzo,0,0.0,2.0,2.0,0.0,0.0,0.0,0.0
2020,2012,,0,,Avaliador-13,Avaliador-3,nan,nan,,,129.0,441.0,6.0,-2.0,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa entrega das lições de casa.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,,0.0,Fase 2 (5º e 6º ano),Masculino,9.0,5.0,6.3,12.0,8.2,,7.7730935185,7.172,7.5595,Não,6.7,Escola Pública,7.5,7.5,7.833,6.7,2.0,Ametista,Ametista,Ametista,Ametista,Ametista,nan,5.8,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,nan,Sem limitações,B,7.172,Ametista,0,2.0,2.0,2.0,2.0,2.0,0.0,2.0
2021,,,0,Cursando,Avaliador-21,Avaliador-20,Avaliador-1,Avaliador-26,nan,nan,67.0,430.5,6.0,1.0,nan,nan,nan,Colégio Arco Íris Evolução,2.0,Fase 3 (7° e 8° ano),Feminino,8.3,10.0,4.0,12.0,9.6,,7.544228947,7.461,7.356,nan,4.5,Privada - Programa de Apadrinhamento,7.8,6.3,8.0,3.0,4.0,Topázio,Ametista,Ametista,Ametista,Ametista,Ametista,4.5,nan,nan,,,nan,4M,7.544228947,Topázio,1,3.0,2.0,2.0,2.0,2.0,2.0,3.0
